Grapheme	Zhou	Baxter
^dʰuŋ˥	^dʰ-.-u-ŋ-˥	d-.-uw-ng-X
^lɑu˩	^l-.-ɑu-.-˩	l-.-aw-.-.
^lɑu˩˥	^l-.-ɑu-.-˩˥	l-.-aw-.-H
^tɕĭak	^tɕ-ĭ-a-k-.	tsy-.-a-k-.
^ʑĭak	^ʑ-ĭ-a-k-.	dzy-.-a-k-.
^mĭuət	^m-ĭ-uə-t-.	m-j-u-t-.
^xwa˩˥	^x-w-a-.-˩˥	x-w-æ-.-H
^pək	^p-.-ə-k-.	p-.-o-k-.
^dzʰĭaŋ˩˥	^dzʰ-ĭ-a-ŋ-˩˥	dz-j-a-ng-H
^pĭwəi˥	^p-ĭw-əi-.-˥	p-j-ɨj-.-X
^pʰĭĕt	^pʰ-ĭ-ĕ-t-.	ph-j-i-t-.
^ʔəu˥˩	^ʔ-.-əu-.-˥˩	ʔ-.-uw-.-.
^tsʰien˥˩	^tsʰ-i-e-n-˥˩	tsh-.-e-n-.
^puɑn˩˥	^p-u-ɑ-n-˩˥	p-.-a-n-H
^ţɔk	^ţ-.-ɔ-k-.	tr-.-æw-k-.
^nɒm˩	^n-.-ɒ-m-˩	n-.-o-m-.
^puɑk	^p-u-ɑ-k-.	p-.-a-k-.
^puk	^p-.-u-k-.	p-.-uw-k-.
^tɕĭɛm˩˥	^tɕ-ĭ-ɛ-m-˩˥	tsy-.-e-m-H
^tɕĭɛm˥˩	^tɕ-ĭ-ɛ-m-˥˩	tsy-.-e-m-.
^kwai˩˥	^k-w-ai-.-˩˥	k-w-ɛ-.-H
^ʔĭĕn˩˥	^ʔ-ĭ-ĕ-n-˩˥	ʔ-j-i-n-H
^ŋĭwe˩	^ŋ-ĭw-e-.-˩	ng-jw-e-.-.
^tsĭək	^ts-ĭ-ə-k-.	ts-.-i-k-.
^gʰĭwɛn˩	^gʰ-ĭw-ɛ-n-˩	g-jw-e-n-.
^gʰĭwɐn˥	^gʰ-ĭw-ɐ-n-˥	g-jw-e-n-X
^kĭwɛn˥	^k-ĭw-ɛ-n-˥	k-jw-e-n-X
^kĭwɛn˩˥	^k-ĭw-ɛ-n-˩˥	k-jw-e-n-H
^kʰĭɐŋ˥˩	^kʰ-ĭ-ɐ-ŋ-˥˩	kh-j-æ-ng-.
^ʔæk	^ʔ-.-æ-k-.	ʔ-.-ɛ-k-.
^ɣəu˥	^ɣ-.-əu-.-˥	h-.-uw-.-X
^ɣəu˩˥	^ɣ-.-əu-.-˩˥	h-.-uw-.-H
^kĭuət	^k-ĭ-uə-t-.	k-j-u-t-.
^kĭwɐt	^k-ĭw-ɐ-t-.	k-jw-o-t-.
^kʰĭo˥	^kʰ-ĭ-o-.-˥	kh-j-o-.-X
^kʰĭo˩˥	^kʰ-ĭ-o-.-˩˥	kh-j-o-.-H
^ĭəu˩˥	^.-ĭ-əu-.-˩˥	h-j-uw-.-H
^gʰĭĕp	^gʰ-ĭ-ĕ-p-.	g-.-i-p-.
^pʰĭwɐn˥˩	^pʰ-ĭw-ɐ-n-˥˩	ph-j-o-n-.
^pĭwɐn˥	^p-ĭw-ɐ-n-˥	p-j-o-n-X
^tsʰĭu˥	^tsʰ-ĭ-u-.-˥	tsh-j-u-.-X
^tsʰəu˥	^tsʰ-.-əu-.-˥	tsh-.-uw-.-X
^kʰəu˥	^kʰ-.-əu-.-˥	kh-.-uw-.-X
^ku˥	^k-.-u-.-˥	k-.-u-.-X
^gʰĭu˩	^gʰ-ĭ-u-.-˩	g-j-u-.-.
^kəu˥˩	^k-.-əu-.-˥˩	k-.-uw-.-.
^kĭu˩˥	^k-ĭ-u-.-˩˥	k-j-u-.-H
^kəu˩˥	^k-.-əu-.-˩˥	k-.-uw-.-H
^kieu˩˥	^k-i-eu-.-˩˥	k-.-ew-.-H
^ɖʰĭɛu˩˥	^ɖʰ-ĭ-ɛu-.-˩˥	dr-j-ew-.-H
^ʑĭɛu˩˥	^ʑ-ĭ-ɛu-.-˩˥	dzy-.-ew-.-H
^kʰɑ˥	^kʰ-.-ɑ-.-˥	kh-.-a-.-X
^jĭə˩	^j-ĭ-ə-.-˩	y-.-i-.-.
^ʃĭə˥	^ʃ-ĭ-ə-.-˥	sr-.-i-.-X
^sĭə˥˩	^s-ĭ-ə-.-˥˩	s-.-i-.-.
^kɑk	^k-.-ɑ-k-.	k-.-a-k-.
^ɣɒp	^ɣ-.-ɒ-p-.	h-.-o-p-.
^kɒp	^k-.-ɒ-p-.	k-.-o-p-.
^kĭĕt	^k-ĭ-ĕ-t-.	k-j-i-t-.
^dʰuŋ˩	^dʰ-.-u-ŋ-˩	d-.-uw-ng-.
^mĭɛŋ˩	^m-ĭ-ɛ-ŋ-˩	m-j-ie-ng-.
^lĭə˩˥	^l-ĭ-ə-.-˩˥	l-.-i-.-H
^tʰu˥	^tʰ-.-u-.-˥	th-.-u-.-X
^tʰu˩˥	^tʰ-.-u-.-˩˥	th-.-u-.-H
^ŋĭĕm˩	^ŋ-ĭ-ĕ-m-˩	ng-.-i-m-.
^ŋĭĕm˩˥	^ŋ-ĭ-ĕ-m-˩˥	ng-.-i-m-H
^bʰĭwɐi˩˥	^bʰ-ĭw-ɐi-.-˩˥	b-j-oj-.-H
^bʰi˥	^bʰ-.-i-.-˥	b-.-ij-.-X
^pĭəu˥	^p-ĭ-əu-.-˥	p-j-uw-.-X
^ɣɒm˩	^ɣ-.-ɒ-m-˩	h-.-o-m-.
^ŋu˩	^ŋ-.-u-.-˩	ng-.-u-.-.
^tɕʰĭwe˥˩	^tɕʰ-ĭw-e-.-˥˩	tsyh-w-e-.-.
^tɕʰĭwe˩˥	^tɕʰ-ĭw-e-.-˩˥	tsyh-w-e-.-H
^ŋa˩	^ŋ-.-a-.-˩	ng-.-æ-.-.
^tɕĭəu˥˩	^tɕ-ĭ-əu-.-˥˩	tsy-.-uw-.-.
^mĭwəi˩˥	^m-ĭw-əi-.-˩˥	m-j-ɨj-.-H
^xɑ˥˩	^x-.-ɑ-.-˥˩	x-.-a-.-.
^xɑ˩˥	^x-.-ɑ-.-˩˥	x-.-a-.-H
^xu˥˩	^x-.-u-.-˥˩	x-.-u-.-.
^mĭɐŋ˩˥	^m-ĭ-ɐ-ŋ-˩˥	m-j-æ-ng-H
^ɣuɑ˩	^ɣ-u-ɑ-.-˩	h-w-a-.-.
^ɣuɑ˩˥	^ɣ-u-ɑ-.-˩˥	h-w-a-.-H
^ɣɐm˩	^ɣ-.-ɐ-m-˩	h-.-ɛ-m-.
^ʔɒi˥˩	^ʔ-.-ɒi-.-˥˩	ʔ-.-oj-.-.
^tsɒi˥˩	^ts-.-ɒi-.-˥˩	ts-.-oj-.-.
^dʰɑŋ˩	^dʰ-.-ɑ-ŋ-˩	d-.-a-ng-.
^mĭuən˩˥	^m-ĭ-uə-n-˩˥	m-j-u-n-H
^ʑĭɛn˥	^ʑ-ĭ-ɛ-n-˥	dzy-.-e-n-X
^xĭə˥	^x-ĭ-ə-.-˥	x-.-i-.-X
^kĭɛu˥˩	^k-ĭ-ɛu-.-˥˩	k-j-ew-.-.
^gʰĭɛu˩	^gʰ-ĭ-ɛu-.-˩	g-j-ew-.-.
^tsĭa˥˩	^ts-ĭ-a-.-˥˩	ts-j-æ-.-.
^ʑĭaŋ˩	^ʑ-ĭ-a-ŋ-˩	dzy-.-a-ng-.
^sieu˩˥	^s-i-eu-.-˩˥	s-.-ew-.-H
^kʰi˩˥	^kʰ-.-i-.-˩˥	kh-.-ij-.-H
^ŋĭɐm˩	^ŋ-ĭ-ɐ-m-˩	ng-j-æ-m-.
^si˩˥	^s-.-i-.-˩˥	s-.-ij-.-H
^ɣuɒi˩	^ɣ-u-ɒi-.-˩	h-w-oj-.-.
^kʰuən˩˥	^kʰ-u-ə-n-˩˥	kh-w-o-n-H
^kuək	^k-u-ə-k-.	k-w-o-k-.
^dʰu˥	^dʰ-.-u-.-˥	d-.-u-.-X
^dzʰɒi˩˥	^dzʰ-.-ɒi-.-˩˥	dz-.-oj-.-H
^dzʰɒi˥	^dzʰ-.-ɒi-.-˥	dz-.-oj-.-X
^kiwei˥˩	^k-iw-ei-.-˥˩	k-w-ej-.-.
^ʑĭwe˩	^ʑ-ĭw-e-.-˩	dzy-w-e-.-.
^tɕĭĕp	^tɕ-ĭ-ĕ-p-.	tsy-.-i-p-.
^kien˥˩	^k-i-e-n-˥˩	k-.-e-n-.
^ŋieu˩	^ŋ-i-eu-.-˩	ng-.-ew-.-.
^pɑu˩˥	^p-.-ɑu-.-˩˥	p-.-aw-.-H
^ɖʰĭaŋ˩	^ɖʰ-ĭ-a-ŋ-˩	dr-j-a-ng-.
^ɖʰwi˩˥	^ɖʰ-w-i-.-˩˥	dr-w-ij-.-H
^kʰĭo˥˩	^kʰ-ĭ-o-.-˥˩	kh-j-o-.-.
^mək	^m-.-ə-k-.	m-.-o-k-.
^lwi˥	^l-w-i-.-˥	l-w-ij-.-X
^kwɐi˩˥	^k-w-ɐi-.-˩˥	k-w-ɛj-.-H
^ɣwɐi˩˥	^ɣ-w-ɐi-.-˩˥	k-w-ɛj-.-H
^zĭɛk	^z-ĭ-ɛ-k-.	z-j-e-k-.
^ŋuɑi˩˥	^ŋ-u-ɑi-.-˩˥	ng-w-aj-.-H
^tɑ˥˩	^t-.-ɑ-.-˥˩	t-.-a-.-.
^jĭa˩˥	^j-ĭ-a-.-˩˥	y-.-æ-.-H
^dʰɑi˩˥	^dʰ-.-ɑi-.-˩˥	d-.-aj-.-H
^dʰɑ˩˥	^dʰ-.-ɑ-.-˩˥	d-.-a-.-H
^tʰien˥˩	^tʰ-.-ie-n-˥˩	th-.-e-n-.
^tʰɑi˩˥	^tʰ-.-ɑi-.-˩˥	th-.-aj-.-H
^bʰĭu˩	^bʰ-ĭ-u-.-˩	b-j-u-.-.
^pĭu˥˩	^p-ĭ-u-.-˥˩	p-j-u-.-.
^kwæi˩˥	^k-w-æi-.-˩˥	k-w-æj-.-H
^ʔĭɛu˥˩	^ʔ-ĭ-ɛu-.-˥˩	ʔ-j-ew-.-.
^ʔĭɛu˥	^ʔ-ĭ-ɛu-.-˥	ʔ-j-ew-.-X
^ʔɑu˥	^ʔ-.-ɑu-.-˥	ʔ-.-æw-.-.
^ʔĭaŋ˥˩	^ʔ-ĭ-a-ŋ-˥˩	ʔ-j-a-ng-.
^ɕĭĕt	^ɕ-ĭ-ĕ-t-.	sy-.-i-t-.
^ji˩	^.-j-i-.-˩	.-y-ij-.-.
^kɐp	^k-.-ɐ-p-.	k-.-ɛ-p-.
^ʔĭɛm˥	^ʔ-ĭ-ɛ-m-˥	ʔ-j-e-m-X
^kĭe˥˩	^k-ĭ-e-.-˥˩	k-j-e-.-.
^bʰĭwoŋ˥	^bʰ-ĭw-o-ŋ-˥	ph-j-ow-ng-X
^tsəu˩˥	^ts-.-əu-.-˩˥	ts-.-uw-.-H
^puən˥˩	^p-u-ə-n-˥˩	p-w-o-n-.
^puən˩˥	^p-u-ə-n-˩˥	p-w-o-n-H
^ɕĭa˥˩	^ɕ-ĭ-a-.-˥˩	sy-.-æ-.-.
^ɳĭo˥	^ɳ-ĭ-o-.-˥	nr-j-o-.-X
^ɳĭo˩˥	^ɳ-ĭ-o-.-˩˥	nr-j-o-.-H
^nu˩	^n-.-u-.-˩	n-.-u-.-.
^nʑĭo˩	^nʑ-ĭ-o-.-˩	ny-.-o-.-.
^nʑĭo˩˥	^nʑ-ĭ-o-.-˩˥	ny-.-o-.-H
^pʰĭwəi˥˩	^pʰ-ĭw-əi-.-˥˩	ph-j-ɨj-.-.
^mĭwaŋ˩˥	^m-ĭw-a-ŋ-˩˥	m-j-a-ng-H
^mĭɛu˩˥	^m-ĭ-ɛu-.-˩˥	m-j-ew-.-H
^muɒi˩˥	^m-u-ɒi-.-˩˥	m-w-oj-.-H
^ɕĭə˥	^ɕ-ĭ-ə-.-˥	sy-.-i-.-X
^ku˥˩	^k-.-u-.-˥˩	k-.-u-.-.
^sĭɛŋ˩˥	^s-ĭ-ɛ-ŋ-˩˥	s-j-e-ng-H
^ʔĭwe˥˩	^ʔ-ĭw-e-.-˥˩	ʔ-jw-e-.-.
^ʔĭwe˥	^ʔ-ĭw-e-.-˥	ʔ-jw-e-.-X
^kan˥˩	^k-.-a-n-˥˩	k-.-æ-n-.
^bʰuɑ˩	^bʰ-u-ɑ-.-˩	b-.-a-.-.
^bʰĭe˥	^bʰ-ĭ-e-.-˥	b-j-ie-.-X
^bʰĭəu˥	^bʰ-ĭ-əu-.-˥	b-j-uw-.-X
^mi˩˥	^m-.-i-.-˩˥	m-.-ij-.-H
^ka˩˥	^k-.-a-.-˩˥	k-.-æ-.-H
^tsĭə˥	^ts-ĭ-ə-.-˥	ts-.-i-.-X
^kʰuŋ˥	^kʰ-.-u-ŋ-˥	kh-.-uw-ng-X
^jĭəŋ˩˥	^j-ĭ-ə-ŋ-˩˥	y-.-i-ng-H
^xau˩˥	^x-.-au-.-˩˥	x-.-æw-.-H
^mɐŋ˩˥	^m-.-ɐ-ŋ-˩˥	m-.-æ-ng-H
^kwi˩˥	^k-w-i-.-˩˥	k-w-ij-.-H
^ɖʰɐk	^ɖʰ-.-ɐ-k-.	dr-.-æ-k-.
^ʔɑn˥˩	^ʔ-.-ɑ-n-˥˩	ʔ-.-a-n-.
^tsuoŋ˥˩	^ts-u-o-ŋ-˥˩	ts-.-ow-ng-.
^kuɑn˥˩	^k-u-ɑ-n-˥˩	k-w-a-n-.
^dʰieŋ˩˥	^dʰ-i-e-ŋ-˩˥	d-.-e-ng-H
^tieŋ˩˥	^t-i-e-ŋ-˩˥	t-.-e-ng-H
^ŋĭe˩	^ŋ-ĭ-e-.-˩	ng-j-e-.-.
^kʰɐk	^kʰ-.-ɐ-k-.	kh-.-æ-k-.
^sĭwɛn˥˩	^s-ĭw-ɛ-n-˥˩	s-jw-e-n-.
^sĭɛu˥˩	^s-ĭ-ɛu-.-˥˩	s-j-ew-.-.
^jĭwoŋ˩	^j-ĭw-o-ŋ-˩	y-.-ow-ng-.
^sĭəu˩˥	^s-ĭ-əu-.-˩˥	s-j-uw-.-H
^sĭuk	^s-ĭ-u-k-.	s-j-uw-k-.
^kĭe˩˥	^k-ĭ-e-.-˩˥	k-j-e-.-H
^mĭĕt	^m-ĭ-ĕ-t-.	m-.-i-t-.
^pĭəu˩˥	^p-ĭ-əu-.-˩˥	p-j-uw-.-H
^ɣɑn˩	^ɣ-.-ɑ-n-˩	h-.-a-n-.
^kwa˥	^k-w-a-.-˥	k-w-æ-.-X
^dʑʰĭĕt	^dʑʰ-ĭ-ĕ-t-.	zy-.-i-t-.
^sĭa˥	^s-ĭ-a-.-˥	s-j-æ-.-X
^tsʰuən˩˥	^tsʰ-u-ə-n-˩˥	tsh-w-o-n-H
^zĭə˩˥	^z-ĭ-ə-.-˩˥	z-.-i-.-H
^pĭwoŋ˥˩	^p-ĭw-o-ŋ-˥˩	p-j-ow-ng-.
^pĭwoŋ˩˥	^p-ĭw-o-ŋ-˩˥	p-j-ow-ng-H
^tsĭaŋ˩˥	^ts-ĭ-a-ŋ-˩˥	ts-j-a-ng-H
^tsĭaŋ˥˩	^ts-ĭ-a-ŋ-˥˩	ts-j-a-ng-.
^tɕĭwɛn˥˩	^tɕ-ĭw-ɛ-n-˥˩	tsy-w-e-n-.
^tsuən˥˩	^ts-u-ə-n-˥˩	ts-w-o-n-.
^zĭĕm˩	^z-ĭ-ĕ-m-˩	z-.-i-m-.
^tuɒi˩˥	^t-u-ɒi-.-˩˥	t-w-oj-.-H
^dʰɑu˩˥	^dʰ-.-ɑu-.-˩˥	d-.-aw-.-H
^sĭɛu˥	^s-ĭ-ɛu-.-˥	s-j-ew-.-X
^ɕĭɛu˥	^ɕ-ĭ-ɛu-.-˥	sy-.-ew-.-X
^ɕĭɛu˩˥	^ɕ-ĭ-ɛu-.-˩˥	sy-.-ew-.-H
^ĭəu˩	^.-ĭ-əu-.-˩	h-j-uw-.-.
^dzʰĭəu˩˥	^dzʰ-ĭ-əu-.-˩˥	dz-j-uw-.-H
^tɕʰĭɛk	^tɕʰ-ĭ-ɛ-k-.	tsyh-.-e-k-.
^ɳi˩	^ɳ-.-i-.-˩	nr-.-ij-.-.
^mĭwəi˥	^m-ĭw-əi-.-˥	m-j-ɨj-.-X
^kĭo˥˩	^k-ĭ-o-.-˥˩	k-j-o-.-.
^ţĭɛn˥	^ţ-ĭ-ɛ-n-˥	tr-j-e-n-X
^li˥	^l-.-i-.-˥	l-.-ij-.-X
^ʃæn˥˩	^ʃ-.-æ-n-˥˩	sr-.-ɛ-n-.
^ŋɔk	^ŋ-.-ɔ-k-.	ng-.-æw-k-.
^dʒʰĭuŋ˩	^dʒʰ-ĭ-u-ŋ-˩	dzr-j-uw-ng-.
^pəŋ˥˩	^p-.-ə-ŋ-˥˩	p-.-o-ng-.
^tɕʰĭwɛn˥˩	^tɕʰ-ĭw-ɛ-n-˥˩	tsyh-w-e-n-.
^kʰau˥	^kʰ-.-au-.-˥	kh-.-æw-.-X
^kʰau˩˥	^kʰ-.-au-.-˩˥	kh-.-æw-.-H
^mĭu˩	^m-ĭ-u-.-˩	m-j-u-.-.
^kĭə˥	^k-ĭ-ə-.-˥	k-.-i-.-X
^pa˥˩	^p-.-a-.-˥˩	p-.-æ-.-.
^ɣɔŋ˩˥	^ɣ-.-ɔ-ŋ-˩˥	h-.-æw-ng-H
^kĭĕn˥˩	^k-ĭ-ĕ-n-˥˩	k-.-i-n-.
^ʑĭə˥	^ʑ-ĭ-ə-.-˥	dzy-.-i-.-X
^pu˩˥	^p-.-u-.-˩˥	p-.-u-.-H
^xĭəi˥˩	^x-ĭ-əi-.-˥˩	x-j-ɨj-.-.
^tɑi˩˥	^t-.-ɑi-.-˩˥	t-.-aj-.-H
^bʰĭɐŋ˩	^bʰ-ĭ-ɐ-ŋ-˩	b-j-æ-ng-.
^nien˩	^n-i-e-n-˩	n-.-e-n-.
^pĭɛŋ˥˩	^p-ĭ-ɛ-ŋ-˥˩	p-j-ie-ng-.
^ɣæŋ˥	^ɣ-.-æ-ŋ-˥	h-.-ɛ-ng-X
^ʔieu˥˩	^ʔ-i-eu-.-˥˩	ʔ-.-ew-.-.
^ʔiəu˩˥	^ʔ-i-əu-.-˩˥	ʔ-j-iw-.-H
^ʔiəu˥˩	^ʔ-i-əu-.-˥˩	ʔ-j-iw-.-.
^kɐŋ˥˩	^k-.-ɐ-ŋ-˥˩	k-.-æ-ng-.
^pĭu˥	^p-ĭ-u-.-˥	p-j-u-.-X
^dʰu˩˥	^dʰ-.-u-.-˩˥	d-.-u-.-H
^dʰɑk	^dʰ-.-ɑ-k-.	d-.-a-k-.
^kʰɑŋ˥˩	^kʰ-.-ɑ-ŋ-˥˩	kh-.-a-ng-.
^lĭɛm˩	^l-ĭ-ɛ-m-˩	l-j-e-m-.
^pĭwɐi˩˥	^p-ĭw-ɐi-.-˩˥	p-j-oj-.-H
^kuɑŋ˥	^k-u-ɑ-ŋ-˥	k-w-a-ng-X
^jĭɛn˩	^j-ĭ-ɛ-n-˩	y-.-e-n-.
^jĭɛn˩˥	^j-ĭ-ɛ-n-˩˥	y-.-e-n-H
^kĭɐn˩˥	^k-ĭ-ɐ-n-˩˥	k-j-o-n-H
^luŋ˩˥	^l-.-u-ŋ-˩˥	l-.-uw-ng-H
^jĭək	^j-ĭ-ə-k-.	y-.-i-k-.
^ɕĭək	^ɕ-ĭ-ə-k-.	sy-.-i-k-.
^kĭuŋ˥˩	^k-ĭ-u-ŋ-˥˩	k-j-uw-ng-.
^tieu˩˥	^t-i-eu-.-˩˥	t-.-ew-.-H
^tiek	^t-i-e-k-.	t-.-e-k-.
^jĭĕn˥	^j-ĭ-ĕ-n-˥	y-.-i-n-X
^jĭĕn˩˥	^j-ĭ-ĕ-n-˩˥	y-.-i-n-H
^pĭuət	^p-ĭ-uə-t-.	p-j-u-t-.
^dʰiei˥	^dʰ-i-ei-.-˥	d-.-ej-.-X
^dʰiei˩˥	^dʰ-i-ei-.-˩˥	d-.-ej-.-H
^ţĭaŋ˥˩	^ţ-ĭ-a-ŋ-˥˩	tr-j-a-ng-.
^ţĭaŋ˩˥	^ţ-ĭ-a-ŋ-˩˥	tr-j-a-ng-H
^gʰĭaŋ˩	^gʰ-ĭ-a-ŋ-˩	g-j-a-ng-.
^mĭe˩	^m-ĭ-e-.-˩	m-j-ie-.-.
^mĭe˥	^m-ĭ-e-.-˥	m-j-e-.-X
^tieu˥˩	^t-i-eu-.-˥˩	t-.-ew-.-.
^ʔĭɐŋ˥	^ʔ-ĭ-ɐ-ŋ-˥	ʔ-j-æ-ng-X
^jĭwɛk	^j-ĭw-ɛ-k-.	y-w-e-k-.
^pĭe˥	^p-ĭ-e-.-˥	p-j-e-.-X
^ĭwaŋ˥	^.-ĭw-a-ŋ-˥	h-jw-a-ng-X
^tɕĭɛŋ˥˩	^tɕ-ĭ-ɛ-ŋ-˥˩	tsy-.-e-ng-.
^dzʰu˩	^dzʰ-.-u-.-˩	dz-.-u-.-.
^lĭuĕt	^l-ĭu-ĕ-t-.	l-w-i-t-.
^zĭo˩	^z-ĭ-o-.-˩	z-j-o-.-.
^kieŋ˩˥	^k-i-e-ŋ-˩˥	k-.-e-ng-H
^dʰu˩	^dʰ-.-u-.-˩	d-.-u-.-.
^tək	^t-.-ə-k-.	t-.-o-k-.
^ŋĭo˩˥	^ŋ-ĭ-o-.-˩˥	ng-j-o-.-H
^pien˩˥	^p-i-e-n-˩˥	p-.-e-n-H
^mĭwəi˩	^m-ĭw-əi-.-˩	m-j-ɨj-.-.
^ţĭəŋ˥˩	^ţ-ĭ-ə-ŋ-˥˩	tr-.-i-ng-.
^sĭĕm˥˩	^s-ĭ-ĕ-m-˥˩	s-.-i-m-.
^pĭĕt	^p-ĭ-ĕ-t-.	p-j-i-t-.
^nʑĭĕn˥	^nʑ-ĭ-ĕ-n-˥	ny-.-i-n-X
^tsʰuən˥	^tsʰ-u-ə-n-˥	tsh-w-o-n-X
^tɕĭə˩˥	^tɕ-ĭ-ə-.-˩˥	tsy-.-i-.-H
^tʰiem˥	^tʰ-i-e-m-˥	th-.-e-m-X
^tʰiem˩˥	^tʰ-i-e-m-˩˥	th-.-e-m-H
^kʰwæi˩˥	^kʰ-w-æi-.-˩˥	kh-w-æj-.-H
^niem˩˥	^n-i-e-m-˩˥	n-.-e-m-H
^xuət	^x-u-ə-t-.	x-w-o-t-.
^sĭə˩˥	^s-ĭ-ə-.-˩˥	s-.-i-.-H
^kĭĕp	^k-ĭ-ĕ-p-.	k-.-i-p-.
^ʔĭwɐn˥˩	^ʔ-ĭw-ɐ-n-˥˩	ʔ-jw-o-n-.
^ʔĭwɐn˩˥	^ʔ-ĭw-ɐ-n-˩˥	ʔ-jw-o-n-H
^ɕĭo˩˥	^ɕ-ĭ-o-.-˩˥	sy-.-o-.-H
^ţʰĭə˥	^ţʰ-ĭ-ə-.-˥	trh-.-i-.-X
^ɣən˩˥	^ɣ-.-ə-n-˩˥	h-.-o-n-H
^ʔən˥˩	^ʔ-.-ə-n-˥˩	ʔ-.-o-n-.
^kĭwoŋ˥˩	^k-ĭw-o-ŋ-˥˩	k-j-ow-ng-.
^sĭək	^s-ĭ-ə-k-.	s-.-i-k-.
^sĭĕt	^s-ĭ-ĕ-t-.	s-.-i-t-.
^ɣwan˩˥	^ɣ-w-a-n-˩˥	h-w-æ-n-H
^pi˥˩	^p-.-i-.-˥˩	p-j-ij-.-.
^gʰwi˩˥	^gʰ-w-i-.-˩˥	g-jw-ij-.-H
^dzʰĭɛŋ˩	^dzʰ-ĭ-ɛ-ŋ-˩	dz-j-e-ng-.
^ɣiwei˩˥	^ɣ-iw-ei-.-˩˥	h-w-ej-.-H
^ʔɒi˩˥	^ʔ-.-ɒi-.-˩˥	ʔ-.-oj-.-H
^kɒm˥	^k-.-ɒ-m-˥	k-.-o-m-X
^kʰɒi˥	^kʰ-.-ɒi-.-˥	kh-.-oj-.-X
^dzʰĭə˩	^dzʰ-ĭ-ə-.-˩	dz-.-i-.-.
^mu˩˥	^m-.-u-.-˩˥	m-.-u-.-H
^kwan˩˥	^k-w-a-n-˩˥	k-w-æ-n-H
^lĭo˩˥	^l-ĭ-o-.-˩˥	l-j-o-.-H
^ʔĭək	^ʔ-ĭ-ə-k-.	ʔ-.-i-k-.
^ɣwɐi˩	^ɣ-w-ɐi-.-˩	h-w-ɛj-.-.
^lĭwɛn˩˥	^l-ĭw-ɛ-n-˩˥	l-jw-e-n-H
^kuɑ˥˩	^k-u-ɑ-.-˥˩	k-w-a-.-.
^ɕĭu˩˥	^ɕ-ĭ-u-.-˩˥	sy-.-u-.-H
^nʑĭuŋ˩	^nʑ-ĭ-u-ŋ-˩	ny-.-uw-ng-.
^ʑĭɛŋ˩	^ʑ-ĭ-ɛ-ŋ-˩	dzy-.-e-ng-.
^ŋɑ˥	^ŋ-.-ɑ-.-˥	ng-.-a-.-X
^ɣuək	^ɣ-u-ə-k-.	h-w-i-k-.
^kĭɐk	^k-ĭ-ɐ-k-.	k-j-æ-k-.
^tɕĭɛn˩˥	^tɕ-ĭ-ɛ-n-˩˥	tsy-.-e-n-H
^liei˩˥	^l-i-ei-.-˩˥	l-.-ej-.-H
^liet	^l-i-e-t-.	l-.-e-t-H
^bʰĭwaŋ˩	^bʰ-ĭw-a-ŋ-˩	b-j-a-ng-.
^ʃĭo˥	^ʃ-ĭ-o-.-˥	sr-j-o-.-X
^kiweŋ˥˩	^k-iw-e-ŋ-˥˩	k-w-e-ng-.
^ɕĭɛn˥˩	^ɕ-ĭ-ɛ-n-˥˩	sy-.-e-n-.
^ɕĭɛn˩˥	^ɕ-ĭ-ɛ-n-˩˥	sy-.-e-n-H
^dzʰɒi˩	^dzʰ-.-ɒi-.-˩	dz-.-oj-.-.
^ʑĭəŋ˩	^ʑ-ĭ-ə-ŋ-˩	dzy-.-i-ng-.
^pʰĭe˥˩	^pʰ-ĭ-e-.-˥˩	ph-j-e-.-.
